month;2017;2018;2019;2020;2021
January;32623/31185/63808;33450/31952/65402;32598/30677/63275;32664/31049/63713;30585/29214/59799
February;30297/28674/58971;29978/28511/58489;29273/27911/57184;30188/28512/58700;31765/30076/61841
March;32577/30753/63330;32749/30890/63639;31703/29976/61679;31646/30584/62230;33935/31968/65903
April;31496/29879/61375;31825/30316/62141;32130/30504/62634;31404/29835/61239;31990/30548/62538
May;34588/33213/67801;34494/32899/67393;33313/31629/64942;33457/31247/64704;33581/31267/64848
June;33901/32278/66179;35195/33110/68305;34383/32333/66716;33916/32194/66110;33832/31858/65690
July;36977/34828/71805;37972/35617/73589;37427/35233/72660;36626/34436/71062;37050/34980/72030
August;36795/34675/71470;36487/34979/71466;36727/34835/71562;35892/33800/69692;
September;35556/34050/69606;36185/33980/70165;36021/34036/70057;35924/33533/69457;
October;34074/32591/66665;34474/32641/67115;34043/32787/66830;33855/32164/66019;
November;31874/30208/62082;30619/29510/60129;30936/29624/60560;30461/29041/59502;
December;31752/30040/61792;30624/29066/59690;30738/29253/59991;31352/29364/60716;
